id,brand,size_type,size,color,skirt length,cut,neckline,pattern,material,sleeves,style,subcategory,description,price
1001,Rozali,UK,10,black,Midi,Buttons,V-neck,Polka Dot,Cotton,Short,Casual,,Rozali UK Uk 10 ,  599.00 
1002,Bongo,UK,10,multicolor,Midi,Shoulder Straps,V-neck,Patterned,Cotton,Sleeveless,Casual,,Bongo UK Uk 10 ,  602.00 
1003,Limited Edition ,UK,10,black & white,Midi,,Round,Checked,Knitwear,Short,Casual,,Limited Edition  UK Uk 10 ,  610.00 
1004,Trendyol,UK,10,green,Midi,Buttons,V-neck,Plain,Linen,Long,Casual,Blouse Dress,Trendyol UK Uk 10 Blouse Dress,  602.00 
1005,,UK,10,white,Midi,Spaghetti,V-neck,Lace,Lace,Sleeveless,Elegant,Evening Dress, UK Uk 10 Evening Dress,  590.00 
1006,Temt,UK,10,black & white,Midi,,Round,Checked,,Sleeveless,,,Temt UK Uk 10 ,  602.00 
1007,Old Navy,UK,10,light blue,Midi,,Round,Plain,Denim,Short,Casual,,Old Navy UK Uk 10 ,  656.00 
1008,Savida,UK,10,black,Midi,Zipper,Round,Plain,Cotton,3/4,Formal,Work Dress,Savida UK Uk 10 Work Dress,  632.00 
1009,Esprit ,UK,10,black & white,Midi,,Round,Patterned,Knitwear,Short,Formal,Work Dress,Esprit  UK Uk 10 Work Dress,  686.00 
1010,Macy & Larry ,UK,10,white,Midi,Zipper,Round,Patterned,Polyester,Long,Formal,Work Dress,Macy & Larry  UK Uk 10 Work Dress,  632.00 
